date,value,name,type
1961-01-01,0.00245521051609398,TerraClimate,Model forcing
1961-02-01,11.5598533704947,TerraClimate,Model forcing
1961-03-01,40.2807522629042,TerraClimate,Model forcing
1961-04-01,65.0292773122656,TerraClimate,Model forcing
1961-05-01,80.2948706113869,TerraClimate,Model forcing
1961-06-01,86.6367947706423,TerraClimate,Model forcing
1961-07-01,80.9170494202176,TerraClimate,Model forcing
1961-08-01,60.0531767106833,TerraClimate,Model forcing
1961-09-01,30.8339303935544,TerraClimate,Model forcing
1961-10-01,44.6072427703327,TerraClimate,Model forcing
1961-11-01,9.60883124154273,TerraClimate,Model forcing
1961-12-01,0.00184865183896922,TerraClimate,Model forcing
1962-01-01,1.01817070513887,TerraClimate,Model forcing
1962-02-01,0.725063678142845,TerraClimate,Model forcing
1962-03-01,3.13234850469773,TerraClimate,Model forcing
1962-04-01,66.09932479692,TerraClimate,Model forcing
1962-05-01,77.2588235351649,TerraClimate,Model forcing
1962-06-01,76.1260420282333,TerraClimate,Model forcing
1962-07-01,81.0627932830092,TerraClimate,Model forcing
1962-08-01,48.1117491918473,TerraClimate,Model forcing
1962-09-01,50.8817374343795,TerraClimate,Model forcing
1962-10-01,31.0301401157988,TerraClimate,Model forcing
1962-11-01,6.8304979581307,TerraClimate,Model forcing
1962-12-01,0,TerraClimate,Model forcing
1963-01-01,0,TerraClimate,Model forcing
1963-02-01,0,TerraClimate,Model forcing
1963-03-01,11.3312090457127,TerraClimate,Model forcing
1963-04-01,64.0600942285699,TerraClimate,Model forcing
1963-05-01,80.9266549089758,TerraClimate,Model forcing
1963-06-01,104.785087535932,TerraClimate,Model forcing
1963-07-01,65.1877452168814,TerraClimate,Model forcing
1963-08-01,86.574117757067,TerraClimate,Model forcing
1963-09-01,59.6954854322832,TerraClimate,Model forcing
1963-10-01,28.2430987848896,TerraClimate,Model forcing
1963-11-01,24.5775309652279,TerraClimate,Model forcing
1963-12-01,0,TerraClimate,Model forcing
1964-01-01,0,TerraClimate,Model forcing
1964-02-01,0.577117781135095,TerraClimate,Model forcing
1964-03-01,2.08338163549832,TerraClimate,Model forcing
1964-04-01,68.1260065504748,TerraClimate,Model forcing
1964-05-01,81.6227171777842,TerraClimate,Model forcing
1964-06-01,82.8772925105033,TerraClimate,Model forcing
1964-07-01,61.8842456249639,TerraClimate,Model forcing
1964-08-01,91.4606071181385,TerraClimate,Model forcing
1964-09-01,34.8884781454934,TerraClimate,Model forcing
1964-10-01,32.6482579172923,TerraClimate,Model forcing
1964-11-01,20.8219603758743,TerraClimate,Model forcing
1964-12-01,0.338585037512725,TerraClimate,Model forcing
1965-01-01,1.62181473564172,TerraClimate,Model forcing
1965-02-01,0.000616217264352485,TerraClimate,Model forcing
1965-03-01,11.8882886264059,TerraClimate,Model forcing
1965-04-01,56.2105067323485,TerraClimate,Model forcing
1965-05-01,86.3316563058415,TerraClimate,Model forcing
1965-06-01,94.9546486410488,TerraClimate,Model forcing
1965-07-01,93.1860799120414,TerraClimate,Model forcing
1965-08-01,76.3802602507327,TerraClimate,Model forcing
1965-09-01,51.5245016014402,TerraClimate,Model forcing
1965-10-01,15.5861704626687,TerraClimate,Model forcing
1965-11-01,4.12719543060145,TerraClimate,Model forcing
1965-12-01,4.89265028568248,TerraClimate,Model forcing
1966-01-01,0,TerraClimate,Model forcing
1966-02-01,17.6241009538117,TerraClimate,Model forcing
1966-03-01,23.4171796375472,TerraClimate,Model forcing
1966-04-01,59.9507784674951,TerraClimate,Model forcing
1966-05-01,83.8451668207033,TerraClimate,Model forcing
1966-06-01,106.025243102812,TerraClimate,Model forcing
1966-07-01,98.0424142476041,TerraClimate,Model forcing
1966-08-01,88.9761207840625,TerraClimate,Model forcing
1966-09-01,51.2559792744671,TerraClimate,Model forcing
1966-10-01,37.4532388056819,TerraClimate,Model forcing
1966-11-01,9.03509186580028,TerraClimate,Model forcing
1966-12-01,3.0773627652803,TerraClimate,Model forcing
1967-01-01,0.382540283736586,TerraClimate,Model forcing
1967-02-01,8.23640337043884,TerraClimate,Model forcing
1967-03-01,32.2701124919413,TerraClimate,Model forcing
1967-04-01,49.0715902199982,TerraClimate,Model forcing
1967-05-01,88.0510578259748,TerraClimate,Model forcing
1967-06-01,87.2220891395841,TerraClimate,Model forcing
1967-07-01,78.6295057522957,TerraClimate,Model forcing
1967-08-01,66.1454503781731,TerraClimate,Model forcing
1967-09-01,56.7696047367065,TerraClimate,Model forcing
1967-10-01,33.1139998440496,TerraClimate,Model forcing
1967-11-01,10.0888873113818,TerraClimate,Model forcing
1967-12-01,0.66362675017705,TerraClimate,Model forcing
1968-01-01,0.00245842614979078,TerraClimate,Model forcing
1968-02-01,2.99276206921807,TerraClimate,Model forcing
1968-03-01,38.7977218924603,TerraClimate,Model forcing
1968-04-01,61.3523836109081,TerraClimate,Model forcing
1968-05-01,78.3337762630894,TerraClimate,Model forcing
1968-06-01,90.5551236822008,TerraClimate,Model forcing
