date,value,name,type
1961-01-01,19.8439558843968,PREC/L,Gauge-based
1961-02-01,37.7745688996643,PREC/L,Gauge-based
1961-03-01,30.6021199391161,PREC/L,Gauge-based
1961-04-01,49.7554338865026,PREC/L,Gauge-based
1961-05-01,88.6545862062648,PREC/L,Gauge-based
1961-06-01,79.1684517337558,PREC/L,Gauge-based
1961-07-01,71.6306027529087,PREC/L,Gauge-based
1961-08-01,53.6294840102975,PREC/L,Gauge-based
1961-09-01,32.5810786651156,PREC/L,Gauge-based
1961-10-01,45.7590188152537,PREC/L,Gauge-based
1961-11-01,42.9794506738189,PREC/L,Gauge-based
1961-12-01,46.0194563599143,PREC/L,Gauge-based
1962-01-01,33.9713991600235,PREC/L,Gauge-based
1962-02-01,37.5446283749794,PREC/L,Gauge-based
1962-03-01,46.8038447998815,PREC/L,Gauge-based
1962-04-01,45.0532754155896,PREC/L,Gauge-based
1962-05-01,108.053823420802,PREC/L,Gauge-based
1962-06-01,33.9525686602198,PREC/L,Gauge-based
1962-07-01,74.7911227013396,PREC/L,Gauge-based
1962-08-01,42.3927090776841,PREC/L,Gauge-based
1962-09-01,52.0908760917103,PREC/L,Gauge-based
1962-10-01,30.4598465462433,PREC/L,Gauge-based
1962-11-01,52.133784419743,PREC/L,Gauge-based
1962-12-01,37.3005917327576,PREC/L,Gauge-based
1963-01-01,25.5832994049567,PREC/L,Gauge-based
1963-02-01,19.6762451788029,PREC/L,Gauge-based
1963-03-01,34.1542051648076,PREC/L,Gauge-based
1963-04-01,28.6212944595574,PREC/L,Gauge-based
1963-05-01,82.5011216746493,PREC/L,Gauge-based
1963-06-01,104.047393102967,PREC/L,Gauge-based
1963-07-01,41.1406143353456,PREC/L,Gauge-based
1963-08-01,86.043112558117,PREC/L,Gauge-based
1963-09-01,69.6349937876703,PREC/L,Gauge-based
1963-10-01,29.8799234444757,PREC/L,Gauge-based
1963-11-01,43.4077774202371,PREC/L,Gauge-based
1963-12-01,8.85784343247759,PREC/L,Gauge-based
1964-01-01,13.6653337842786,PREC/L,Gauge-based
1964-02-01,24.2382348021766,PREC/L,Gauge-based
1964-03-01,39.9543175168849,PREC/L,Gauge-based
1964-04-01,37.4879894059302,PREC/L,Gauge-based
1964-05-01,55.7464396195498,PREC/L,Gauge-based
1964-06-01,64.5099215334962,PREC/L,Gauge-based
1964-07-01,53.3967854787189,PREC/L,Gauge-based
1964-08-01,115.593759537601,PREC/L,Gauge-based
1964-09-01,24.3674968631514,PREC/L,Gauge-based
1964-10-01,100.99579235788,PREC/L,Gauge-based
1964-11-01,42.308053865384,PREC/L,Gauge-based
1964-12-01,31.5534833550837,PREC/L,Gauge-based
1965-01-01,47.3591597958105,PREC/L,Gauge-based
1965-02-01,35.4213919837848,PREC/L,Gauge-based
1965-03-01,39.5361702868818,PREC/L,Gauge-based
1965-04-01,80.0808155179653,PREC/L,Gauge-based
1965-05-01,132.282835254689,PREC/L,Gauge-based
1965-06-01,94.6813976860693,PREC/L,Gauge-based
1965-07-01,85.7815338035684,PREC/L,Gauge-based
1965-08-01,60.6633076803518,PREC/L,Gauge-based
1965-09-01,58.0565747228103,PREC/L,Gauge-based
1965-10-01,6.03312489704902,PREC/L,Gauge-based
1965-11-01,41.8795176705148,PREC/L,Gauge-based
1965-12-01,59.8706856544693,PREC/L,Gauge-based
1966-01-01,26.7904484085329,PREC/L,Gauge-based
1966-02-01,43.2626684309365,PREC/L,Gauge-based
1966-03-01,45.236109196992,PREC/L,Gauge-based
1966-04-01,51.3243543829962,PREC/L,Gauge-based
1966-05-01,63.4363886097923,PREC/L,Gauge-based
1966-06-01,96.8844665059687,PREC/L,Gauge-based
1966-07-01,148.658028876973,PREC/L,Gauge-based
1966-08-01,124.997892608929,PREC/L,Gauge-based
1966-09-01,34.364530119651,PREC/L,Gauge-based
1966-10-01,52.277054510734,PREC/L,Gauge-based
1966-11-01,36.5503433309146,PREC/L,Gauge-based
1966-12-01,64.0602962311715,PREC/L,Gauge-based
1967-01-01,35.7168629739053,PREC/L,Gauge-based
1967-02-01,30.2997700775157,PREC/L,Gauge-based
1967-03-01,45.4266359771471,PREC/L,Gauge-based
1967-04-01,35.3362398267974,PREC/L,Gauge-based
1967-05-01,99.3643497725242,PREC/L,Gauge-based
1967-06-01,70.4333867748899,PREC/L,Gauge-based
1967-07-01,66.16960449324,PREC/L,Gauge-based
1967-08-01,67.7444192978854,PREC/L,Gauge-based
1967-09-01,94.4804305308265,PREC/L,Gauge-based
1967-10-01,24.662151767787,PREC/L,Gauge-based
1967-11-01,26.7485283305033,PREC/L,Gauge-based
1967-12-01,51.6803508037122,PREC/L,Gauge-based
1968-01-01,49.2804465794262,PREC/L,Gauge-based
1968-02-01,25.527093662078,PREC/L,Gauge-based
1968-03-01,26.8970758678153,PREC/L,Gauge-based
1968-04-01,40.7171070215676,PREC/L,Gauge-based
1968-05-01,69.1316257598581,PREC/L,Gauge-based
1968-06-01,94.2916597278164,PREC/L,Gauge-based
1968-07-01,86.8057073324144,PREC/L,Gauge-based
1968-08-01,109.161570552639,PREC/L,Gauge-based
1968-09-01,63.7760857447306,PREC/L,Gauge-based
1968-10-01,38.9542413036182,PREC/L,Gauge-based
1968-11-01,54.0587354335576,PREC/L,Gauge-based
1968-12-01,19.6267607585959,PREC/L,Gauge-based
1969-01-01,32.8841261196019,PREC/L,Gauge-based
1969-02-01,30.0055680138057,PREC/L,Gauge-based
1969-03-01,40.5532382280312,PREC/L,Gauge-based
1969-04-01,31.5202501103772,PREC/L,Gauge-based
1969-05-01,56.1255084478269,PREC/L,Gauge-based
1969-06-01,113.750651730207,PREC/L,Gauge-based
1969-07-01,45.0507094962266,PREC/L,Gauge-based
1969-08-01,78.9474017313078,PREC/L,Gauge-based
1969-09-01,23.1778817913677,PREC/L,Gauge-based
1969-10-01,17.6859690368634,PREC/L,Gauge-based
1969-11-01,51.4064534660305,PREC/L,Gauge-based
1969-12-01,27.1884671318949,PREC/L,Gauge-based
1970-01-01,18.234128228539,PREC/L,Gauge-based
1970-02-01,70.9386666458454,PREC/L,Gauge-based
1970-03-01,41.8337895564511,PREC/L,Gauge-based
1970-04-01,60.9866747259981,PREC/L,Gauge-based
1970-05-01,53.0598482723958,PREC/L,Gauge-based
1970-06-01,93.4876470867512,PREC/L,Gauge-based
1970-07-01,79.0738368968648,PREC/L,Gauge-based
1970-08-01,138.582479972675,PREC/L,Gauge-based
1970-09-01,28.3597063707911,PREC/L,Gauge-based
1970-10-01,59.8413717669175,PREC/L,Gauge-based
1970-11-01,62.6094924749144,PREC/L,Gauge-based
1970-12-01,38.0754744432547,PREC/L,Gauge-based
1971-01-01,15.7045375702075,PREC/L,Gauge-based
1971-02-01,27.2539563048807,PREC/L,Gauge-based
1971-03-01,32.7734807922789,PREC/L,Gauge-based
1971-04-01,31.6052455812178,PREC/L,Gauge-based
1971-05-01,89.7950418010827,PREC/L,Gauge-based
1971-06-01,106.811303984076,PREC/L,Gauge-based
1971-07-01,36.4901871742465,PREC/L,Gauge-based
1971-08-01,61.6233119656696,PREC/L,Gauge-based
1971-09-01,43.4611901233595,PREC/L,Gauge-based
